atype,date,lead_par,url,word_count
Interactive Feature,2018-01-01,,https://www.nytimes.com/interactive/2017/12/31/business/A-Big-Year-for-the-Stock-Market.html,0
News,2018-01-01,Here’s what to expect in the week ahead:,https://www.nytimes.com/2017/12/31/business/start-of-a-new-year-of-trading-and-jobs-report-from-december.html,292
News,2018-01-01,"The chief executive of the world’s biggest catering company, which is also one of Britain’s biggest businesses, died on Sunday in a plane crash near Sydney, the Australian police said.",https://www.nytimes.com/2018/01/01/business/sydney-compass-richard-cousins.html,544
News,2018-01-01,"LOS ANGELES — In late summer, Verizon Communications came to Rupert Murdoch with a surprise acquisition offer.",https://www.nytimes.com/2018/01/01/business/media/rupert-murdoch-21st-century-fox-disney.html,1690
News,2018-01-01,"Airlines have been shrinking their seats for a long time, aiming to reduce the planes’ weight and squeeze in more passengers. But lately, some carriers have been going one step further in redesigning their seats: They’re taking away the seatback screens.",https://www.nytimes.com/2018/01/01/business/airlines-travel-entertainment.html,1042
News,2018-01-01,COPENHAGEN — A Danish biotechnology company is trying to fight climate change — one laundry load at a time. Its secret weapon: mushrooms like those in a dormant forest outside Copenhagen.,https://www.nytimes.com/2018/01/01/business/energy-environment/climate-change-enzymes-laundry.html,1071
News,2018-01-02,Please take your seats.,https://www.nytimes.com/2018/01/01/business/dealbook/biggest-deals-2017.html,1421
News,2018-01-02,"Gretchen Carlson, who was Miss America in 1989 and in recent years has become a prominent voice against workplace sexual harassment, will take over as chairwoman of the pageant’s board of directors, the organization announced on Monday.",https://www.nytimes.com/2018/01/01/business/gretchen-carlson-miss-america.html,495
News,2018-01-02,"Hoda Kotb, the longtime co-host of the fourth hour of the NBC morning franchise “Today,” will replace Matt Lauer as co-anchor of the program’s opening hours, the network said on Tuesday.",https://www.nytimes.com/2018/01/02/business/media/hoda-kotb-today-matt-lauer.html,811
News,2018-01-02,Good Tuesday and happy new year!,https://www.nytimes.com/2018/01/02/business/dealbook/2018-business-trump.html,3229
News,2018-01-02,A YouTube star with millions of followers apologized on Monday for posting a video that showed a dead body hanging from a tree in a Japanese forest known as a destination for suicide victims.,https://www.nytimes.com/2018/01/02/business/media/logan-paul-youtube.html,714
