atype,date,lead_par,url,word_count,article_text
News,2018-09-28,"At the breakfast buffet of Borgo Egnazia, a high-end resort in Fasano on Italy’s eastern coast, there’s a carafe of a substance unlikely to be found at any similarly luxurious hotel elsewhere in the world: siero di latte e cacao, or milk serum and cocoa. It looks like hot chocolate but tastes like seaweed, pungent enough that it might trigger the gag reflex of a consumer more accustomed to starting the morning with something from Starbucks. A centuries-old breakfast staple in this part of the world, the drink is essentially a protein shake made with the whey that remains after milk has been curdled and strained.",https://www.nytimes.com/2018/09/28/business/sd-hotels-luxury.html,1061,
News,2018-09-28,Good Friday. Want this in your inbox every morning? Sign up here.,https://www.nytimes.com/2018/09/28/business/dealbook/elon-musk-tesla-sec.html,1527,
News,2018-09-28, Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________,https://www.nytimes.com/2018/09/28/business/dealbook/elon-musk-tesla-stock.html,293,
News,2018-09-28,Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________,https://www.nytimes.com/2018/09/28/business/dealbook/tesla-stock-elon-musk.html,771,
News,2018-09-28,"BEIJING — China has long made it clear that reporting on politics, civil society and sensitive historical events is forbidden. Increasingly, it wants to keep negative news about the economy under control, too.",https://www.nytimes.com/2018/09/28/business/china-censor-economic-news.html,966,
News,2018-09-28,"The Securities and Exchange Commission has accused Elon Musk, Tesla’s chief executive, of committing fraud when he said on Twitter: “Am considering taking Tesla private at $420. Funding secured.” The S.E.C. says Mr. Musk had not had specific conversations about financing when he made that announcement, and so his tweet amounted to a false public statement with the potential to harm investors. It is seeking to prevent Mr. Musk from ever serving as an officer or director of a public company again, which is the most serious penalty the regulator can seek. (Criminal charges, if any, would be brought by the Department of Justice in a separate case.)",https://www.nytimes.com/2018/09/28/business/elon-musk-tesla-sec-ban.html,634,
News,2018-09-28,Getting more low-income students into elite colleges like Harvard and Stanford is an important goal. But it can’t replace race-based affirmative action.,https://www.nytimes.com/2018/09/28/business/at-elite-colleges-racial-diversity-requires-affirmative-action.html,1108,
News,2018-09-28, Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________,https://www.nytimes.com/2018/09/28/business/dealbook/worldquant-quants-talent.html,381,
News,2018-09-28,Apple’s new offerings are so good that I’m not buying a new iPhone.,https://www.nytimes.com/2018/09/28/business/apple-old-iphone-operating-system.html,1216,
News,2018-09-28,"Jay Browder, 43, is a machine operator at Alphapointe in Kansas City, Mo.",https://www.nytimes.com/2018/09/28/business/blind-machine-operator.html,591,
News,2018-09-29,"When Thursday began, Elon Musk had a deal on the table.",https://www.nytimes.com/2018/09/28/business/elon-musk-tesla-sec-deal.html,1394,
News,2018-09-29,"TOKYO — When Hiromi Otsuzuki joined the Japanese software company Isana.net as human resources manager four years ago, she was the only part-time employee.",https://www.nytimes.com/2018/09/28/business/japan-work-jobs-women.html,1244,
News,2018-09-29,"DENVER — By nearly any measure, this city is booming. The unemployment rate is below 3 percent. There is so much construction that a local newspaper started a “crane watch” feature. Seemingly every week brings headlines about companies bringing high-paying jobs to the area.",https://www.nytimes.com/2018/09/29/business/economy/home-prices-housing-market-slowdown.html,1814,
News,2018-09-29,"Elon Musk, under pressure from his lawyers and investors of Tesla, the company he co-founded, reached a deal with the Securities and Exchange Commission on Saturday to resolve securities fraud charges. The settlement will force Mr. Musk to step aside as chairman for three years and pay a $20 million fine.",https://www.nytimes.com/2018/09/29/business/tesla-musk-sec-settlement.html,1127,
News,2018-09-30,Here’s what to expect in the week ahead:,https://www.nytimes.com/2018/09/30/business/first-day-for-goldmans-new-ceo-and-job-numbers-come-out.html,512,
News,2018-09-30,"GLENDALE, Calif. — A young actor with a bushy goatee, cast as a Satanist on a murder-mystery show called “Solve,” sat facing a camera on a stuffy, no-frills set in July. Six tenderfoot crew members stood sweating in the shadows nearby. One was staring at his iPhone’s stopwatch.",https://www.nytimes.com/2018/09/30/business/media/elisabeth-murdoch-vertical-networks.html,1341,
News,2018-09-30,"This penthouse apartment in Manhattan’s SoHo neighborhood is awash in natural light, with high ceilings, gleaming hardwood floors and a rooftop deck. The living room area includes a sofa in the rosy hue known as millennial pink, the kitchen comes equipped with a floor-to-ceiling wine fridge, and the library nook is filled with books chosen for their appearance, not their contents. The white walls are spotless, and there is never any clutter.",https://www.nytimes.com/2018/09/30/business/media/instagram-influencers-penthouse.html,1246,
