atype,date,lead_par,url,word_count
News,2018-01-01,Here’s what to expect in the week ahead:,https://www.nytimes.com/2017/12/31/business/start-of-a-new-year-of-trading-and-jobs-report-from-december.html,292
News,2018-01-01,"The chief executive of the world’s biggest catering company, which is also one of Britain’s biggest businesses, died on Sunday in a plane crash near Sydney, the Australian police said.",https://www.nytimes.com/2018/01/01/business/sydney-compass-richard-cousins.html,544
News,2018-01-01,"LOS ANGELES — In late summer, Verizon Communications came to Rupert Murdoch with a surprise acquisition offer.",https://www.nytimes.com/2018/01/01/business/media/rupert-murdoch-21st-century-fox-disney.html,1690
News,2018-01-01,"Airlines have been shrinking their seats for a long time, aiming to reduce the planes’ weight and squeeze in more passengers. But lately, some carriers have been going one step further in redesigning their seats: They’re taking away the seatback screens.",https://www.nytimes.com/2018/01/01/business/airlines-travel-entertainment.html,1042
Question,2018-01-01,Q. I have a long series of text messages on my iPhone between my son and me. Is there a way to copy these from my phone to my computer and save the files in a Microsoft Word document?,https://www.nytimes.com/2018/01/01/technology/personaltech/copying-iphone-messages-to-the-computer.html,348
News,2018-01-01,COPENHAGEN — A Danish biotechnology company is trying to fight climate change — one laundry load at a time. Its secret weapon: mushrooms like those in a dormant forest outside Copenhagen.,https://www.nytimes.com/2018/01/01/business/energy-environment/climate-change-enzymes-laundry.html,1071
News,2018-01-01,"It has been a secret, long known to intelligence agencies but rarely to consumers, that security software can be a powerful spy tool.",https://www.nytimes.com/2018/01/01/technology/kaspersky-lab-antivirus.html,1363
News,2018-01-02,Please take your seats.,https://www.nytimes.com/2018/01/01/business/dealbook/biggest-deals-2017.html,1421
News,2018-01-02,"Hoda Kotb, the longtime co-host of the fourth hour of the NBC morning franchise “Today,” will replace Matt Lauer as co-anchor of the program’s opening hours, the network said on Tuesday.",https://www.nytimes.com/2018/01/02/business/media/hoda-kotb-today-matt-lauer.html,811
News,2018-01-02,Good Tuesday and happy new year!,https://www.nytimes.com/2018/01/02/business/dealbook/2018-business-trump.html,3229
News,2018-01-02,A YouTube star with millions of followers apologized on Monday for posting a video that showed a dead body hanging from a tree in a Japanese forest known as a destination for suicide victims.,https://www.nytimes.com/2018/01/02/business/media/logan-paul-youtube.html,714
Question,2018-01-02,"Q.  I see posts in my Twitter feed that have “sensitive content” labels in place of the message. What counts as sensitive content, and how can I unblock it?",https://www.nytimes.com/2018/01/02/technology/personaltech/twitter-sensitive-content.html,265
News,2018-01-02,"HONG KONG — One of the world’s most valuable start-ups got that way by using artificial intelligence to satisfy Chinese internet users’ voracious appetite for news and entertainment. Every day, its smartphone app feeds 120 million people personalized streams of buzzy news stories, videos of dogs frolicking in snow, GIFs of traffic mishaps and listicles such as “The World’s Ugliest Celebrities.”",https://www.nytimes.com/2018/01/02/business/china-toutiao-censorship.html,1135
News,2018-01-02,"SALT LAKE CITY — More than three years after construction was started to rebuild Salt Lake City International Airport and scrape away a collection of obsolete terminals, the contours of one of the nation’s largest air travel infrastructure projects are taking shape.",https://www.nytimes.com/2018/01/02/business/salt-lake-city-airport-renovation.html,1138
News,2018-01-02,$17.9 MILLION,https://www.nytimes.com/2018/01/02/realestate/commercial/commercial-real-estate-new-york.html,335
News,2018-01-02,"Vice Media placed its president, Andrew Creighton, and its chief digital officer, Mike Germano, on leave after sexual harassment allegations were reported against them in a New York Times investigation that detailed the treatment of women at the company.",https://www.nytimes.com/2018/01/02/business/vice-media-executives-on-leave.html,610
News,2018-01-02,"The golden age of television programming is heading for a grisly finale. Netflix, Amazon, Apple and Hulu are on course to increase their spending on new shows and movies at a faster clip than the growth of the overall video-streaming market. Consolidation among traditional media groups is only adding to the frenzy. Something will have to give.",https://www.nytimes.com/2018/01/02/business/dealbook/tv-content-streaming.html,408
News,2018-01-02,"Want the latest climate news in your inbox? You can sign up here to receive Climate Fwd:, our new email newsletter.",https://www.nytimes.com/2018/01/02/climate/china-cars-pollution.html,810
News,2018-01-02,"If Procter & Gamble were sponsoring a 2018 advertisement for avoiding activists, it might include an in-house remedy for removing corporate stains. Investors seeking new strategies, more dividends, executive changes or board seats aren’t going away. If anything, the siege of P.&G. by Nelson Peltz, whose Trian Partners gained a director’s seat after a 10-month campaign, will embolden others to take up the cause. Resistance isn’t futile, but it needs to be more carefully considered.",https://www.nytimes.com/2018/01/02/business/activists-guide-to-2018-the-best-defense-is-a-good-offense.html,402
