atype,date,lead_par,url,word_count,article_text
News,2018-09-28,"With awards season approaching, stylists are at fashion weeks, scoping out looks for their clients, readying them to be at their best for months of parading down scads of red carpets. Harvey Weinstein may be banished, but the awards campaign machine he helped create grinds on. ",https://www.nytimes.com/2018/09/28/style/red-carpet-fashion-business-awards-season.html,937,
Op-Ed,2018-09-28,"ATHENS — In his declared intention to “Make America Great Again,” President Trump appears set on destroying the foundations of American greatness. The multinational organizations and agreements that established peace and stability, and encouraged economic growth for some seven decades, were designed principally by Americans. They organized the world pretty much the way that suited them, and they reaped the benefits of dominating it through a complex network of organizations and treaties. ",https://www.nytimes.com/2018/09/28/opinion/konstandaras-ancient-athens-trump.html,1041,
News,2018-09-28,"At first glance, the new “Emma and Max” is not much of a departure for Todd Solondz. The story starts off with the fraught, to say the least, relationship between a Barbadian nanny, Britney, and her former white employers, Brooke and Jay. There are laughs, which become increasingly uncomfortable as …",https://www.nytimes.com/2018/09/28/theater/todd-solondz-emma-and-max-flea.html,963,
News,2018-09-28,"Aimee Raupp-Temple and her husband, Ken Temple, rented instead of buying a house when they first moved from Brooklyn Heights to Westport, Conn., three years ago, because they weren’t sure they were ready to fully commit to the suburbs.",https://www.nytimes.com/2018/09/28/realestate/rent-vs-buy-suburban-edition.html,1928,
briefing,2018-09-28, (Want to get this briefing by email? Here’s the sign-up.),https://www.nytimes.com/2018/09/28/briefing/brett-kavanaugh-elon-musk-night-school.html,1405,
Op-Ed,2018-09-28,"GUANGZHOU, China — Earlier this month, Jack Ma announced that he was stepping down as executive chairman of Alibaba Group Holding Ltd, the world’s largest e-commerce company. His decision caught many by surprise. At an economic forum in Russia, President Vladimir V. Putin reportedly asked him, “You are still so young. Why are you retiring?”",https://www.nytimes.com/2018/09/28/opinion/jack-ma-alibaba-china-economy.html,1132,
News,2018-09-28,Good Friday. Want this in your inbox every morning? Sign up here.,https://www.nytimes.com/2018/09/28/business/dealbook/elon-musk-tesla-sec.html,1527,
News,2018-09-28,"Each week, technology reporters and columnists from The New York Times review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry. Want this newsletter in your inbox? Sign up here.",https://www.nytimes.com/2018/09/28/technology/robots-human.html,970,
News,2018-09-28,BERLIN — A three-day state visit to Germany by President Recep Tayyip Erdogan of Turkey was supposed to be aimed at repairing relations at a time of a looming economic crisis at home.,https://www.nytimes.com/2018/09/28/world/europe/erdogan-turkey-germany.html,1090,
News,2018-09-28,"BEIJING — China has long made it clear that reporting on politics, civil society and sensitive historical events is forbidden. Increasingly, it wants to keep negative news about the economy under control, too.",https://www.nytimes.com/2018/09/28/business/china-censor-economic-news.html,966,
